BIC Subject Code is exactly,AND any BIC Subj present with stem ,AND other BIC Subj present is exactly,AND any BIC Qual present with stem ,"AND
BIC Qual present  is exactly","AND
BIC Qual present is exactly ","AND
BIC Qual NOT present","AND
BIC Qual NOT present",>>,Only if input code not yet mapped ,Thema Subj 1,Thema Subj 2,Thema Subj 3,Thema Qual 1,Thema Qual 2,Thema Qual 3,Note,
AVH,,AVGC3,,,,,,,,AVN,AVLA,,6BA,,,,
AVH,,AVGC4,,,,,,,,AVN,AVLA,,6CA,,,,
AVH,,AVGC5,,,,,,,,AVN,AVLA,,6RA,,,,
AVH,,AVGC6,,,,,,,,AVN,AVLA,,3MP,,,,
AVH,,,,,,,,,else,AVP,AVN,,,,,,
AVQ,,,,,,,,,,AVQ,,,,,,,
AVQS,,,,,,,,,,AVQS,,,,,,,
AVR,,,,,,,,,,AVR,,,,,,,
AVRB,,,,,,,,,,AVP,AVLA,,,,,,
AVRD,,,,,,,,,,AVP,AVLA,,,,,,
AVRG,,,,,,,,,,AVRG,,,,,,,
AVRJ,,,,,,,,,,AVRJ,,,,,,,
AVRL,,,,,,,,,,AVRL,,,,,,,
AVRL1,,,,,,,,,,AVRL,,,,,,,
AVRN,,,,,,,,,,AVRN,,,,,,,
AVRQ,,,,,,,,,,AVRQ,,,,,,,
AVRS,,,,,,,,,,AVRS,,,,,,,
AVS,,,,,,,,,,AVS,,,,,,,
AVX,,,,,,,,,,AVX,,,,,,,
B,,,,,,,,,,DN,,,,,,,
BG,,RGR,,,,,,,,DNBP,,,,,,,
BG,HP,,,,,,,,,DNBM,,,,,,,
BG,J,,,,,,,,,DNBM,,,,,,,
BG,,,,,,,,,else,DNB,,,,,,,
BGA,,RGR,,,,,,,,DNBP1,,,,,,,
BGA,HP,,,,,,,,,DNBM1,,,,,,,
BGA,J,,,,,,,,,DNBM1,,,,,,,
BGA,,,,,,,,,else,DNBA,,,,,,,
BGB,,,,,,,,,,DNBB,,,,,,,
BGBA,,,,,,,,,,DNBB1,,,,,,,
BGF,,,,,,,,,,DNBF,,,,,,,
BGFA,,,,,,,,,,DNBF1,,,,,,,
BGH,,RGR,,,,,,,,DNBP,,,,,,,
BGH,,,,,,,,,else,DNBH,,,,,,,
BGHA,,RGR,,,,,,,,DNBP1,,,,,,,
BGHA,,,,,,,,,else,DNBH1,,,,,,,
BGL,,,,,,,,,,DNBL,,,,,,,
BGLA,,,,,,,,,,DNBL1,,,,,,,
BGR,,,,,,,,,,DNBR,,,,,,,
BGRA,,,,,,,,,,DNBR1,,,,,,,
BGS,,,,,,,,,,DNBS,,,,,,,
BGSA,,,,,,,,,,DNBS1,,,,,,,
BGT,,,,,,,,,,DNBT,,,,,,,
BGTA,,,,,,,,,,DNBT1,,,,,,,
BGX,,,,,,,,,,DNBX,,,,,,,
BGXA,,,,,,,,,,DNBX1,,,,,,,
BJ,,,,,,,,,,DND,,,,,,,
BK,,,,,,,,,,DNBZ,,,,,,,
BM,,,,,,,,,,DNC,,,,,,,
BT,,,,,,,,,,DNX,,,,,,,
BTC,,,,,,,,,,DNXC,,,,,,,
BTH,,,,,,,,,,DNXH,,,,,,,
BTM,,,,,,,,,,DNXM,,,,,,,
BTP,JFFE,,,,,,,,,DNXR,,,,,,,
BTP,,,,,,,,,else,DNXP,,,,,,,
BTX,,,,,,,,,,DNXZ,,,,,,,
C,,,,,,,,,,C,,,,,,,
CB,,,,,,,,,,CB,,,,,,,
CBD,,,,,,,,,,CBD,,,,,,,
CBDX,,,,,,,,,,CBDX,,,,,,,
CBF,,,,,,,,,,CBF,,,,,,,
CBG,,,,,,,,,,CBG,,,,,,,
CBP,,,,,,,,,,CBP,,,,,,,
CBV,,,,,,,,,,CBV,,,,,,,
CBVS,,,,,,,,,,CBVS,,,,,,,
CBW,,,,,,,,,,CBW,,,,,,,
CBWJ,,,,,,,,,,CBW,,,,,,,
CBWT,,,,,,,,,,CBW,,,,,,,
CBX,,,,,,,,,,CBX,,,,,,,
CF,,,,,,,,,,CF,,,,,,,
CFA,,,,,,,,,,CFA,,,,,,,
CFB,,,,,,,,,,CFB,,,,,,,
CFC,,,,,,,,,,CFC,,,,,,,
CFD,,,,,,,,,,CFD,,,,,,,
CFDC,,,,,,,,,,CFDC,,,,,,,
CFDM,,,,,,,,,,CFDM,,,,,,,
CFF,,,,,,,,,,CFF,,,,,,,
CFFD,,,,,,,,,,CFFD,,,,,,,
CFG,,,,,,,,,,CFG,,,,,,,
CFGA,,,,,,,,,,CFG,,,,,,,
CFGR,,,,,,,,,,CFG,,,,,,,
CFH,,,,,,,,,,CFH,,,,,,,
CFK,,,,,,,,,,CFK,,,,,,,
CFL,,,,,,,,,,CFL,,,,,,,
CFLA,,,,,,,,,,CFLA,,,,,,,
CFM,,,,,,,,,,CFM,,,,,,,
CFP,,,,,,,,,,CFP,,,,,,,
CFX,,,,,,,,,,CFX,,,,,,,
CFZ,,,,,,,,,,CFZ,,,,,,,
CJ,,,,,,,,,,CJ,,,,,,,
CJA,,,,,,,,,,CJA,,,,,,,
CJB,,,,,,,,,,CJB,,,,,,,
CJBG,,,,,,,,,,CJBG,,,,,,,
CJBR,,,,,,,,,,CJBR,,,,,,,
CJBT,,,,,,,,,,CJBT,,,,,,,
CJBV,,,,,,,,,,CJB,,,,,,,
CJC,,,,,,,,,,CJC,,,,,,,
CJCK,,,,,,,,,,CJCK,,,,,,,
CJCL,,,,,,,,,,CJCL,,,,,,,
CJCR,,,,,,,,,,CJCR,,,,,,,
CJCW,,,,,,,,,,CJCW,,,,,,,
D,,,,,,,,,,D,,,,,,,
DB,,,,,,,,,,DB,,,,,,,
DC,,,,,,,,,,DC,,,,,,,
DCF,,,,,,,,,,DCF,,,,,,,
DCQ,,,,,,,,,,DCQ,,,,,,,
DD,,,,,,,,,,DD,,,,,,,
DDS,,,,,,,,,,DDA,,,5PX-GB-S,,,,
DN,,,,,,,,,,DN,,,,,,,
DNF,,,,,,,,,,DNL,,,,,,,
DNJ,,,,,,,,,,DNP,,,,,,,
DNS,,,,,,,,,,DNS,,,,,,,
DQ,,,,,,,,,,DNT,,,,,,,
DS,,,,,,,,,,DS,,,,,,,
DSA,,,,,,,,,,DSA,,,,,,,
DSB,,,,,,,,,,DSB,,,,,,,
DSBB,,,,,,,,,,DSBB,,,,,,,
DSBD,,,,3J,,,,,,DSBC,DSBD,,,,,,
